Dataset,Model,Accuracy,Macro Avg F1,Weighted Avg F1
Original,KNN,0.5659955257270693,0.5498923373162933,0.5603072164035686
Original,Random Forest,0.5801640566741237,0.5700616405727708,0.573508466392722
Original,Naive Bayes,0.34750186428038776,0.31681954558188846,0.3266222927348004
Original,Decision Tree,0.36092468307233405,0.35153247301070945,0.36006276446612867
Original,XGBoost,0.6293810589112603,0.6193262097507438,0.6257345369248409
Original,Tuned RF,0.5831469052945563,0.5726749075772255,0.5765260534639407
Original,SVM (RBF),0.633855331841909,0.6282547179024806,0.6330891287728098
Original,Gradient Boosting,0.5398956002982849,0.5281349529841748,0.5355630857508008
Original,AdaBoost,0.27889634601043994,0.23096897789738727,0.25089899810814537
PCA,KNN,0.49217002237136465,0.47720129021170526,0.48508293756359144
PCA,Random Forest,0.511558538404176,0.4942685836231368,0.5019445518926651
PCA,Naive Bayes,0.36539895600298283,0.34454031182489625,0.3517763699334139
PCA,Decision Tree,0.30648769574944074,0.30198263855386703,0.30541758130502344
PCA,XGBoost,0.511558538404176,0.49965532295097165,0.5068024762856581
PCA,Tuned RF,0.5085756897837435,0.4893345891301589,0.49867769331341216
PCA,SVM (RBF),0.5324384787472036,0.5214445727025256,0.5302402350454065
PCA,Gradient Boosting,0.43922445935868754,0.42768305554834085,0.43465633116533375
PCA,AdaBoost,0.2483221476510067,0.18782292911594503,0.20578546410705495
KBest,KNN,0.5249813571961223,0.512275031232517,0.5213703000843327
KBest,Random Forest,0.5794183445190156,0.5726889113827988,0.5754011412676209
KBest,Naive Bayes,0.33929903057419836,0.30632661026766894,0.314581304995194
KBest,Decision Tree,0.36017897091722595,0.351570249782441,0.36017613956390176
KBest,XGBoost,0.5667412378821775,0.5590893147756831,0.5641041053277287
KBest,Tuned RF,0.5741983594332588,0.5693703467223751,0.5698220616926151
KBest,SVM (RBF),0.5816554809843401,0.5734620624366463,0.5801354810813055
KBest,Gradient Boosting,0.49515287099179717,0.4912056765923109,0.49335222729131695
KBest,AdaBoost,0.284862043251305,0.239815001764814,0.2569485595511866
